GAME_DATE_EST	TEAM_ID_home	PTS_home	FG_PCT_home	FT_PCT_home	FG3_PCT_home	AST_home	REB_home	HOME_TEAM_WINS
22/12/2022	1610612740	126	0.484	0.926	0.382	25	46	1
22/12/2022	1610612762	120	0.488	0.952	0.457	16	40	1
21/12/2022	1610612739	114	0.482	0.786	0.313	22	37	1
21/12/2022	1610612755	113	0.441	0.909	0.297	27	49	1
21/12/2022	1610612737	108	0.429	1	0.378	22	47	0
21/12/2022	1610612738	112	0.386	0.84	0.317	26	62	0
21/12/2022	1610612751	143	0.643	0.875	0.636	42	32	1
21/12/2022	1610612752	106	0.553	0.611	0.423	25	38	0
21/12/2022	1610612745	110	0.466	0.647	0.395	22	49	0
21/12/2022	1610612750	99	0.494	0.7	0.267	23	39	0
21/12/2022	1610612760	101	0.468	0.84	0.333	19	37	1
21/12/2022	1610612758	134	0.505	0.75	0.362	29	46	1
21/12/2022	1610612746	126	0.506	0.913	0.469	29	48	1
20/12/2022	1610612765	111	0.506	0.741	0.36	22	43	0
20/12/2022	1610612748	103	0.469	0.706	0.341	26	35	0
20/12/2022	1610612752	132	0.517	0.781	0.425	27	47	1
20/12/2022	1610612756	110	0.461	0.789	0.406	26	44	0
20/12/2022	1610612743	105	0.449	0.6	0.37	28	48	1
19/12/2022	1610612739	122	0.614	0.808	0.577	24	45	1
19/12/2022	1610612755	104	0.4	0.926	0.357	22	41	1
19/12/2022	1610612737	126	0.511	0.9	0.375	29	41	1
19/12/2022	1610612745	105	0.426	0.645	0.208	23	41	0
19/12/2022	1610612750	116	0.472	0.833	0.387	19	44	1
19/12/2022	1610612740	119	0.424	0.708	0.4	30	44	0
19/12/2022	1610612760	123	0.455	0.865	0.355	20	39	1
19/12/2022	1610612756	130	0.495	0.75	0.513	21	51	1
19/12/2022	1610612758	119	0.474	0.548	0.364	23	42	0
18/12/2022	1610612738	92	0.348	0.857	0.255	22	54	0
18/12/2022	1610612754	106	0.433	0.652	0.342	20	44	0
